"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000008323.15"	42	1089	895	873	646	164	80	86	1028	55	1358
"ENSG00000008324.10"	183	324	337	260	206	203	168	205	185	221	230
"ENSG00000008382.15"	481	597	543	355	440	657	483	335	470	723	411
"ENSG00000008394.12"	1831	7036	8561	4604	7221	3075	5598	7344	4870	1600	7204
"ENSG00000008405.11"	571	475	445	442	497	585	1255	877	246	687	243
"ENSG00000008438.4"	2	4	3	3	2	1	1	2	4	3	4
"ENSG00000008441.16"	6714	4442	2890	1843	4405	7829	7686	3788	2451	8433	1838
"ENSG00000008513.14"	3542	4123	2128	2345	2636	2428	1849	3570	1921	2064	1644
"ENSG00000008516.16"	19	165	232	197	119	34	36	78	298	63	210
"ENSG00000008517.16"	144	314	413	276	208	199	72	471	693	59	269
"ENSG00000008710.18"	17198	11097	7513	3502	10947	14569	16544	12025	6102	17462	4056
"ENSG00000008735.13"	52	35	50	49	41	17	29	40	36	36	29
"ENSG00000008838.18"	1799	2529	2998	2021	2172	2288	2227	2137	2111	1936	1842
"ENSG00000008853.16"	657	3168	1512	1228	1128	1008	807	715	1214	1115	2107
"ENSG00000008869.11"	976	1892	1532	1287	1165	1142	1001	893	1284	775	1100
"ENSG00000008952.16"	3255	3914	3045	2288	2951	4064	3465	3100	2059	3531	1927
"ENSG00000008988.9"	13931	20894	16971	12132	13675	13827	13786	13256	11899	14732	10310
"ENSG00000009307.15"	21610	23333	15498	11265	19875	33236	29255	20437	11419	37411	10295
"ENSG00000009335.17"	2429	3128	2072	1842	2519	3260	3189	2740	1713	3863	1540
"ENSG00000009413.15"	3081	2247	2221	1655	2919	3454	2845	2794	2012	2339	1863
"ENSG00000009694.13"	299	150	84	53	69	222	247	131	55	130	44
"ENSG00000009709.11"	0	0	0	1	2	0	0	2	0	0	2
"ENSG00000009724.16"	172	395	380	184	165	211	208	144	104	189	106
"ENSG00000009765.14"	2	21	54	19	7	5	0	4	27	7	30
"ENSG00000009780.15"	501	473	464	292	439	602	456	316	352	486	351
"ENSG00000009790.14"	67	740	608	491	210	74	135	96	905	66	214
"ENSG00000009830.11"	1005	1056	937	629	761	1387	1153	1079	647	1162	736
"ENSG00000009844.15"	607	953	889	789	766	946	638	836	703	698	815
"ENSG00000009950.15"	142	68	86	66	483	100	191	868	51	53	73
"ENSG00000009954.10"	3593	3800	2771	2234	2896	4034	4376	3541	2362	3829	2036
"ENSG00000010017.12"	1272	1886	1390	1315	2270	2928	1770	2239	1087	1578	1226
"ENSG00000010030.13"	12	166	220	194	102	43	16	30	288	9	133
"ENSG00000010072.15"	256	291	229	237	271	327	245	267	178	260	268
"ENSG00000010165.19"	483	839	958	730	662	788	587	819	797	731	683
"ENSG00000010219.13"	625	400	353	302	391	623	424	426	308	728	341
"ENSG00000010244.17"	3098	6657	7303	5168	5089	5068	4739	4612	5519	4053	5158
"ENSG00000010256.10"	3351	3914	3082	2422	2855	4183	3557	2691	2686	5760	2849
"ENSG00000010270.13"	808	770	765	645	614	863	854	777	574	630	700
"ENSG00000010278.12"	6236	14600	12424	8614	7387	7630	5443	3248	8825	5437	10817
"ENSG00000010282.14"	2	8	17	5	6	17	9	6	5	7	3
"ENSG00000010292.12"	1202	1829	1278	1460	1351	1866	1506	1231	1248	1534	1233
