	T1	T2	smtsd	lib_size
SRR1479133	14.875771	29.150982	Adipose - Subcutaneous	179915.95164732687
SRR614864	15.138971	31.753975	Adipose - Subcutaneous	174138.9897072317
SRR1408393	16.066153	35.74585	Adipose - Subcutaneous	166739.46193609713
SRR1319204	15.9238405	37.815304	Adipose - Subcutaneous	163059.02836584678
SRR1404209	7.5594115	27.395283	Adipose - Subcutaneous	178843.0381491903
SRR1080459	12.72079	32.557472	Adipose - Subcutaneous	173351.33941987707
SRR1476102	9.782009	36.95315	Adipose - Subcutaneous	168161.36017321877
SRR1500216	-1.7957612	71.30859	Adipose - Subcutaneous	184576.93037019222
SRR1373694	18.588217	35.427753	Adipose - Subcutaneous	164149.6649968009
SRR1433410	9.804711	27.205793	Adipose - Subcutaneous	178999.65548282466
SRR1485521	6.6181655	32.402924	Adipose - Subcutaneous	174884.6149691796
SRR1317771	8.144984	24.107033	Adipose - Subcutaneous	183534.42727230547
SRR1457854	7.507228	34.64073	Adipose - Subcutaneous	170837.14650344703
SRR1359062	17.892397	28.375563	Adipose - Subcutaneous	173276.33571609727
SRR655531	7.825457	18.616539	Adipose - Subcutaneous	199289.15690108127
SRR1467080	20.308252	34.92512	Adipose - Subcutaneous	161207.81674359337
SRR1477949	6.761379	28.318716	Adipose - Subcutaneous	181519.04287771552
SRR1368597	5.1563764	29.41705	Adipose - Subcutaneous	175896.8551949521
SRR658754	13.82313	23.168892	Adipose - Subcutaneous	181088.00592162466
SRR1328620	12.516076	30.824112	Adipose - Subcutaneous	174590.72055890044
SRR663197	-29.796137	14.28318	Adipose - Subcutaneous	141620.14019959877
SRR1096383	8.342576	28.561451	Adipose - Subcutaneous	180921.99780998606
SRR1387856	9.053645	35.736618	Adipose - Subcutaneous	172842.4314803316
SRR1380764	8.357122	31.417759	Adipose - Subcutaneous	175728.10800059026
SRR662114	17.20807	32.073223	Adipose - Subcutaneous	170875.66367703132
SRR1419917	9.2094345	24.294537	Adipose - Subcutaneous	183863.64158837282
SRR1319882	9.153189	35.8631	Adipose - Subcutaneous	167687.95297158358
SRR1460320	5.944105	32.913834	Adipose - Subcutaneous	175161.75767490058
SRR1456881	7.1149497	31.559273	Adipose - Subcutaneous	178346.95069791217
SRR1433950	10.711829	37.681374	Adipose - Subcutaneous	166482.7330047937
SRR1452164	5.6255345	30.152142	Adipose - Subcutaneous	176008.36577568244
SRR1332969	15.690734	30.18385	Adipose - Subcutaneous	172350.83615379862
SRR661167	15.443803	33.405697	Adipose - Subcutaneous	173208.27135561884
SRR812536	-29.241348	16.130917	Adipose - Subcutaneous	156032.6628149
SRR1416654	17.98722	35.393364	Adipose - Subcutaneous	165650.58369443082
SRR1500113	9.353865	35.847107	Adipose - Subcutaneous	168648.5417352508
SRR655637	15.477124	27.54045	Adipose - Subcutaneous	177658.8326412857
SRR1500240	6.3389916	33.725132	Adipose - Subcutaneous	172906.97946496855
SRR1095575	14.162567	36.40831	Adipose - Subcutaneous	169282.73271572965
SRR1454995	4.182873	34.213642	Adipose - Subcutaneous	175228.52365598298
SRR1318354	14.112494	25.644098	Adipose - Subcutaneous	178171.38071559902
SRR1447303	10.564732	21.681978	Adipose - Subcutaneous	186721.65002476462
SRR1416248	6.875877	32.368946	Adipose - Subcutaneous	175230.1727792191
SRR1085996	4.7308435	35.41304	Adipose - Subcutaneous	171772.0787700047
SRR1485312	17.218904	30.755402	Adipose - Subcutaneous	171749.09995964274
SRR819459	14.555641	22.391691	Adipose - Subcutaneous	183092.4481255731
SRR1382890	7.44346	33.598137	Adipose - Subcutaneous	168894.50712079997
SRR1337192	8.571634	25.333448	Adipose - Subcutaneous	187451.7402461138
SRR1499521	8.389791	30.12624	Adipose - Subcutaneous	179208.08605987058
SRR1317365	15.859001	31.837593	Adipose - Subcutaneous	174775.135251228
SRR813137	10.017271	24.448874	Adipose - Subcutaneous	183025.05174701294
SRR1363858	-3.092461	76.68875	Adipose - Subcutaneous	187549.2068022074
SRR1398924	10.401821	31.144453	Adipose - Subcutaneous	174982.95009117693
SRR1433926	3.8883421	33.007584	Adipose - Subcutaneous	177840.13608167734
SRR1486520	7.4215994	27.137697	Adipose - Subcutaneous	181553.59136959346
SRR1366648	17.932072	28.481388	Adipose - Subcutaneous	173007.21523276766
SRR1330920	9.138556	20.073729	Adipose - Subcutaneous	192640.74733727548
SRR1332424	9.697	27.09995	Adipose - Subcutaneous	180578.43329177273
SRR1458290	11.286551	31.230906	Adipose - Subcutaneous	177322.99314185744
SRR1409854	8.821584	19.29987	Adipose - Subcutaneous	194122.48549117387
SRR1455017	7.380055	30.916916	Adipose - Subcutaneous	176996.07330743744
SRR1346773	9.223385	35.710896	Adipose - Subcutaneous	169695.0562915735
SRR1430333	11.468905	27.21486	Adipose - Subcutaneous	179832.21242227432
SRR612815	-38.815903	10.139527	Adipose - Subcutaneous	125030.33367702315
SRR613342	-29.64903	15.127113	Adipose - Subcutaneous	148186.22742045924
SRR654898	7.901698	18.836666	Adipose - Subcutaneous	192065.22530819578
SRR661313	16.663319	33.666935	Adipose - Subcutaneous	170548.16920497388
SRR657949	17.690527	38.984623	Adipose - Subcutaneous	158751.8162372075
SRR2170173	2.7205362	18.697681	Adipose - Subcutaneous	193430.94961095887
SRR1452270	15.973831	27.61162	Adipose - Subcutaneous	178101.67716451065
SRR1100419	15.698391	30.166718	Adipose - Subcutaneous	174433.6372746906
SRR1413329	12.175168	29.890553	Adipose - Subcutaneous	173710.7312654892
SRR1075971	8.149276	36.426075	Adipose - Subcutaneous	166564.18598769797
SRR1085134	5.568804	26.88797	Adipose - Subcutaneous	182408.08331076516
SRR663440	16.37704	30.279572	Adipose - Subcutaneous	174988.6220020191
SRR613150	-29.607246	15.152223	Adipose - Subcutaneous	147268.26587181308
SRR1452468	12.736924	26.10882	Adipose - Subcutaneous	178115.9194822181
SRR814387	8.005369	19.898691	Adipose - Subcutaneous	195662.42943548138
SRR1410678	6.3322134	30.10176	Adipose - Subcutaneous	177606.10404676106
SRR818821	11.677389	21.21553	Adipose - Subcutaneous	186504.6928102458
SRR1402962	8.368331	22.985409	Adipose - Subcutaneous	185242.24131535145
SRR658953	7.8278937	20.332647	Adipose - Subcutaneous	187818.1211268197
SRR1455195	9.322125	27.489147	Adipose - Subcutaneous	178453.02151101147
SRR1316367	9.92703	31.131968	Adipose - Subcutaneous	176019.7655963905
SRR613915	15.9337	34.33825	Adipose - Subcutaneous	170307.22630523532
SRR1079522	11.244707	38.206318	Adipose - Subcutaneous	163855.13090224052
SRR613234	17.376795	38.56485	Adipose - Subcutaneous	163404.56581133086
SRR665551	7.263545	22.301119	Adipose - Subcutaneous	186753.9668592485
SRR819820	8.335801	22.681992	Adipose - Subcutaneous	186758.9955414078
SRR1365291	17.534092	34.402523	Adipose - Subcutaneous	168382.95957839247
SRR1359447	16.153904	38.152603	Adipose - Subcutaneous	158098.54831947366
SRR1080270	17.465738	27.892065	Adipose - Subcutaneous	175050.66516180997
SRR615069	17.222523	38.298588	Adipose - Subcutaneous	163222.73231291684
SRR1091572	13.989437	20.57698	Adipose - Subcutaneous	181755.9348463756
SRR1347459	9.094254	18.784912	Adipose - Subcutaneous	201125.4394153976
SRR1337606	10.309093	27.480291	Adipose - Subcutaneous	175953.689886986
SRR661651	-29.801945	15.896211	Adipose - Subcutaneous	152473.53110976913
SRR1325906	6.513055	35.50331	Adipose - Subcutaneous	169236.48458457092
SRR1105198	18.530804	34.883232	Adipose - Subcutaneous	166168.39694416214
SRR661589	8.812671	18.94965	Adipose - Subcutaneous	198804.6020988377
SRR613896	16.810081	38.25558	Adipose - Subcutaneous	158829.65439028488
SRR1429846	11.926887	23.933844	Adipose - Subcutaneous	181176.1000796099
SRR665274	-28.9811	15.610176	Adipose - Subcutaneous	151153.55129822402
SRR1397366	13.232814	23.5781	Adipose - Subcutaneous	180521.40875413833
SRR1487340	6.1948643	28.6763	Adipose - Subcutaneous	180382.77838904335
SRR2164608	2.7678733	18.713972	Adipose - Subcutaneous	197934.88561010774
SRR1351454	19.113676	37.62407	Adipose - Subcutaneous	163530.18315787837
SRR608198	7.6366963	21.289911	Adipose - Subcutaneous	190179.30083389132
SRR1317985	5.439653	33.47465	Adipose - Subcutaneous	171930.5372786316
SRR1456229	4.4909477	35.47883	Adipose - Subcutaneous	170161.5471291286
SRR1446028	6.335911	33.06203	Adipose - Subcutaneous	173862.53423269425
SRR813680	8.847742	21.26659	Adipose - Subcutaneous	188018.63440351165
SRR818263	8.889165	20.966337	Adipose - Subcutaneous	189145.81917584976
SRR617841	12.635393	35.049732	Adipose - Subcutaneous	172372.26803008144
